run,best
1,9.71758e-20
1,6.36971e-20
1,6.36971e-20
1,6.36971e-20
1,6.36971e-20
1,1.87558e-20
1,1.49999e-20
1,1.49999e-20
1,1.49999e-20
1,1.49999e-20
1,1.49999e-20
1,1.49999e-20
1,1.49999e-20
1,8.6339e-21
1,8.6339e-21
1,8.6339e-21
1,7.36453e-21
1,6.65612e-21
1,6.65612e-21
1,6.65612e-21
1,6.50434e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,1.16816e-21
1,7.9769e-22
1,7.9769e-22
1,7.9769e-22
1,7.9769e-22
1,7.9769e-22
1,7.33907e-22
1,7.33907e-22
1,4.14316e-22
1,3.79115e-22
1,3.79115e-22
1,3.79115e-22
1,3.79115e-22
1,2.82777e-22
1,2.75314e-22
1,2.73847e-22
1,2.34481e-22
1,2.34481e-22
1,2.34481e-22
1,1.87242e-22
1,1.87242e-22
1,1.00667e-22
1,6.30243e-23
1,6.30243e-23
1,6.30243e-23
1,2.12064e-23
1,2.12064e-23
1,1.60287e-23
1,1.60287e-23
1,1.60287e-23
1,1.60287e-23
1,1.10046e-23
1,1.10046e-23
1,1.10046e-23
1,8.48995e-24
1,5.91671e-24
1,1.76947e-24
1,1.76947e-24
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,6.0925e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,4.18671e-25
1,1.84899e-25
1,1.84899e-25
1,1.84899e-25
1,1.84899e-25
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.54395e-26
1,2.15083e-26
1,2.15083e-26
1,2.08102e-26
1,7.75288e-27
1,7.75288e-27
1,7.75288e-27
1,7.75288e-27
1,6.59632e-27
1,4.36518e-27
1,1.98965e-27
1,9.91171e-28
1,7.90911e-28
1,7.90911e-28
1,5.99259e-28
1,5.99259e-28
1,5.99259e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,2.51189e-28
1,1.49387e-28
1,1.32179e-28
1,4.52087e-29
1,4.52087e-29
1,4.52087e-29
1,3.52497e-29
1,3.18429e-29
1,3.18429e-29
1,3.18429e-29
1,3.18429e-29
1,3.18429e-29
1,2.43475e-29
1,1.28163e-29
1,1.01841e-29
1,6.38758e-30
1,6.38758e-30
1,6.38758e-30
1,6.38758e-30
1,6.38758e-30
1,6.38758e-30
1,6.03649e-30
1,2.47678e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.80586e-30
1,1.646e-30
1,1.646e-30
1,9.03461e-31
1,3.11816e-31
1,1.146e-31
1,1.146e-31
1,1.146e-31
1,1.146e-31
1,1.146e-31
1,1.146e-31
1,1.146e-31
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
1,1.49976e-32
